job_num,lab_smp_id,treatment,order,taxon,taxa_code,life_stage,length_class_mm,num_indiv,ind_mg,tot_mg
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,3,1,0.05515185,0.05515185
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,4,2,0.119267148,0.238534296
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,5,3,0.216938473,0.65081542
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,6,2,0.353688957,0.707377914
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,7,3,0.534694656,1.604083967
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,10,1,1.391227001,1.391227001
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,11,4,1.796270704,7.185082815
AXL007,Control 1 Day 0,control,Diptera,Atherix pachypus,159,larvae,12,4,2.268208212,9.07283285
AXL007,Control 1 Day 0,control,Diptera,Cricotopus/Orthocladius sp.,117,larvae,3,2,0.065380122,0.130760245
AXL007,Control 1 Day 0,control,Diptera,Dicranota sp.,68,larvae,4,2,0.119267148,0.238534296
AXL007,Control 1 Day 0,control,Diptera,Eukiefferiella sp.,120,larvae,3,4,0.065380122,0.26152049
AXL007,Control 1 Day 0,control,Diptera,Eukiefferiella sp.,120,larvae,4,1,0.12751271,0.12751271
AXL007,Control 1 Day 0,control,Diptera,Eukiefferiella sp. pupae,120,pupae,2,1,0.025501271,0.025501271
AXL007,Control 1 Day 0,control,Diptera,Nanocladius sp.,116,larvae,3,1,0.065380122,0.065380122
AXL007,Control 1 Day 0,control,Diptera,Nanocladius sp. pupae,116,pupae,2,4,0.025501271,0.102005084
AXL007,Control 1 Day 0,control,Diptera,Paracladopelma sp.,130,larvae,6,1,0.13873963,0.13873963
AXL007,Control 1 Day 0,control,Diptera,Paracladopelma sp.,130,larvae,7,1,0.21868926,0.21868926
AXL007,Control 1 Day 0,control,Diptera,Parametriocnemus sp.,109,larvae,3,1,0.065380122,0.065380122
AXL007,Control 1 Day 0,control,Diptera,Parametriocnemus sp.,109,larvae,4,1,0.12751271,0.12751271
AXL007,Control 1 Day 0,control,Diptera,Parametriocnemus sp.,109,larvae,5,2,0.214081198,0.428162396
